Team,variable,value,Rank,normed_value
TOR,3PA,37.0,6,0.5202312138728324
BOS,3PA,34.5,13,0.3757225433526012
PHI,3PA,31.6,22,0.20809248554913307
BRK,3PA,38.1,5,0.5838150289017343
NYK,3PA,28.4,29,0.023121387283236917
MIL,3PA,38.9,4,0.6300578034682082
CHI,3PA,35.1,11,0.4104046242774568
IND,3PA,28.0,30,0.0
DET,3PA,32.7,17,0.2716763005780349
CLE,3PA,31.8,20,0.21965317919075153
MIA,3PA,35.4,9,0.4277456647398844
ORL,3PA,32.2,19,0.24277456647398865
CHO,3PA,34.3,14,0.36416184971098253
WAS,3PA,32.6,18,0.2658959537572256
ATL,3PA,36.1,8,0.4682080924855493
DEN,3PA,30.6,26,0.15028901734104058
OKC,3PA,30.2,27,0.12716763005780346
UTA,3PA,35.2,10,0.41618497109826613
POR,3PA,34.1,15,0.3526011560693643
MIN,3PA,39.7,3,0.6763005780346824
LAL,3PA,31.6,22,0.20809248554913307
LAC,3PA,33.5,16,0.31791907514450873
PHO,3PA,31.8,20,0.21965317919075153
SAC,3PA,34.9,12,0.3988439306358381
GSW,3PA,31.3,25,0.19075144508670527
DAL,3PA,41.3,2,0.7687861271676301
HOU,3PA,45.3,1,1.0
MEM,3PA,31.5,24,0.20231213872832374
SAS,3PA,28.5,28,0.02890173410404625
NOP,3PA,36.9,7,0.5144508670520231
TOR,FTA,23.2,17,0.5694444444444442
BOS,FTA,23.2,17,0.5694444444444442
PHI,FTA,22.4,21,0.458333333333333
BRK,FTA,24.1,9,0.6944444444444445
NYK,FTA,23.5,12,0.6111111111111109
MIL,FTA,24.7,6,0.7777777777777776
CHI,FTA,20.5,27,0.19444444444444425
IND,FTA,19.1,30,0.0
DET,FTA,22.4,21,0.458333333333333
CLE,FTA,19.9,29,0.11111111111111073
MIA,FTA,25.2,4,0.847222222222222
ORL,FTA,22.7,20,0.4999999999999998
CHO,FTA,21.6,25,0.34722222222222227
WAS,FTA,24.6,7,0.763888888888889
ATL,FTA,23.4,14,0.5972222222222219
DEN,FTA,20.9,26,0.24999999999999964
OKC,FTA,24.8,5,0.7916666666666666
UTA,FTA,22.8,19,0.5138888888888888
POR,FTA,22.1,23,0.4166666666666667
MIN,FTA,25.4,3,0.8749999999999997
LAL,FTA,24.3,8,0.7222222222222222
LAC,FTA,26.3,1,1.0
PHO,FTA,23.8,10,0.6527777777777778
SAC,FTA,20.3,28,0.16666666666666657
GSW,FTA,23.2,17,0.5694444444444442
DAL,FTA,23.8,10,0.6527777777777778
HOU,FTA,26.1,2,0.9722222222222223
MEM,FTA,21.8,24,0.37499999999999994
SAS,FTA,23.4,14,0.5972222222222219
NOP,FTA,23.4,14,0.5972222222222219
TOR,TRB,45.4,10,0.36999999999999955
BOS,TRB,46.1,8,0.43999999999999984
PHI,TRB,45.4,10,0.36999999999999955
BRK,TRB,47.9,2,0.6199999999999996
NYK,TRB,46.5,6,0.4799999999999997
MIL,TRB,51.7,1,1.0
CHI,TRB,41.9,29,0.019999999999999574
IND,TRB,42.8,25,0.10999999999999943
DET,TRB,41.7,30,0.0
CLE,TRB,44.2,19,0.25
MIA,TRB,44.4,17,0.2699999999999996
ORL,TRB,44.5,16,0.2799999999999997
CHO,TRB,42.8,25,0.10999999999999943
WAS,TRB,42.0,28,0.029999999999999714
ATL,TRB,43.3,22,0.15999999999999942
DEN,TRB,44.1,20,0.23999999999999985
OKC,TRB,42.9,23,0.11999999999999958
UTA,TRB,44.9,13,0.31999999999999956
POR,TRB,45.3,12,0.35999999999999943
MIN,TRB,44.8,14,0.30999999999999944
LAL,TRB,45.7,9,0.4
LAC,TRB,47.7,3,0.6
PHO,TRB,43.5,21,0.17999999999999972
SAC,TRB,42.6,27,0.08999999999999986
GSW,TRB,42.8,25,0.10999999999999943
DAL,TRB,46.9,4,0.5199999999999996
HOU,TRB,44.3,18,0.25999999999999945
MEM,TRB,46.5,6,0.4799999999999997
SAS,TRB,44.6,15,0.28999999999999987
NOP,TRB,46.5,6,0.4799999999999997
TOR,AST,25.2,11,0.6969696969696969
BOS,AST,23.0,25,0.36363636363636354
PHI,AST,25.8,8,0.7878787878787881
BRK,AST,24.5,15,0.5909090909090909
NYK,AST,22.1,27,0.22727272727272735
MIL,AST,25.9,6,0.8030303030303029
CHI,AST,23.2,23,0.39393939393939376
IND,AST,25.9,6,0.8030303030303029
DET,AST,24.1,16,0.5303030303030305
CLE,AST,23.1,24,0.3787878787878789
MIA,AST,25.9,6,0.8030303030303029
ORL,AST,23.9,18,0.4999999999999997
CHO,AST,23.8,20,0.4848484848484849
WAS,AST,25.0,12,0.6666666666666666
ATL,AST,24.0,17,0.5151515151515151
DEN,AST,26.7,4,0.9242424242424242
OKC,AST,21.7,28,0.1666666666666664
UTA,AST,22.4,26,0.2727272727272724
POR,AST,20.6,30,0.0
MIN,AST,23.8,20,0.4848484848484849
LAL,AST,25.4,10,0.7272727272727271
LAC,AST,23.7,22,0.4696969696969695
PHO,AST,27.2,1,1.0
SAC,AST,23.8,20,0.4848484848484849
GSW,AST,25.6,9,0.7575757575757578
DAL,AST,24.7,13,0.6212121212121211
HOU,AST,21.6,29,0.15151515151515157
MEM,AST,26.9,2,0.9545454545454545
SAS,AST,24.7,13,0.6212121212121211
NOP,AST,26.8,3,0.9393939393939396
TOR,STL,8.8,2,0.6923076923076925
BOS,STL,8.3,6,0.5641025641025643
PHI,STL,8.0,10,0.4871794871794872
BRK,STL,6.4,27,0.0769230769230771
NYK,STL,7.6,16,0.3846153846153846
MIL,STL,7.2,23,0.28205128205128216
CHI,STL,10.0,1,1.0
IND,STL,7.4,20,0.3333333333333335
DET,STL,7.4,20,0.3333333333333335
CLE,STL,6.9,25,0.2051282051282053
MIA,STL,7.5,18,0.35897435897435903
ORL,STL,8.2,7,0.5384615384615383
CHO,STL,6.6,26,0.1282051282051282
WAS,STL,8.0,10,0.4871794871794872
ATL,STL,7.8,13,0.4358974358974359
DEN,STL,8.0,10,0.4871794871794872
OKC,STL,7.6,16,0.3846153846153846
UTA,STL,6.1,29,0.0
POR,STL,6.3,28,0.05128205128205132
MIN,STL,8.7,3,0.6666666666666665
LAL,STL,8.6,5,0.641025641025641
LAC,STL,7.1,24,0.2564102564102564
PHO,STL,7.7,14,0.41025641025641035
SAC,STL,7.7,14,0.41025641025641035
GSW,STL,8.2,7,0.5384615384615383
DAL,STL,6.1,29,0.0
HOU,STL,8.7,3,0.6666666666666665
MEM,STL,7.9,12,0.4615384615384617
SAS,STL,7.3,22,0.3076923076923077
NOP,STL,7.5,18,0.35897435897435903
TOR,BLK,5.0,13,0.5294117647058824
BOS,BLK,5.6,5,0.7058823529411764
PHI,BLK,5.3,9,0.6176470588235294
BRK,BLK,4.5,22,0.3823529411764706
NYK,BLK,4.7,17,0.44117647058823534
MIL,BLK,5.9,3,0.7941176470588237
CHI,BLK,4.1,26,0.26470588235294107
IND,BLK,5.2,10,0.5882352941176472
DET,BLK,4.5,22,0.3823529411764706
CLE,BLK,3.2,30,0.0
MIA,BLK,4.5,22,0.3823529411764706
ORL,BLK,5.4,8,0.6470588235294119
CHO,BLK,4.1,26,0.26470588235294107
WAS,BLK,4.3,24,0.32352941176470584
ATL,BLK,5.1,12,0.5588235294117646
DEN,BLK,4.6,19,0.41176470588235287
OKC,BLK,4.9,15,0.5000000000000001
UTA,BLK,4.1,26,0.26470588235294107
POR,BLK,6.1,2,0.8529411764705882
MIN,BLK,5.7,4,0.735294117647059
LAL,BLK,6.6,1,1.0
LAC,BLK,4.7,17,0.44117647058823534
PHO,BLK,4.0,29,0.23529411764705882
SAC,BLK,4.1,26,0.26470588235294107
GSW,BLK,4.6,19,0.41176470588235287
DAL,BLK,4.8,16,0.47058823529411764
HOU,BLK,5.2,10,0.5882352941176472
MEM,BLK,5.5,6,0.6764705882352942
SAS,BLK,5.5,6,0.6764705882352942
NOP,BLK,5.0,13,0.5294117647058824
TOR,TOV,14.8,14,0.5641025641025643
BOS,TOV,13.8,23,0.30769230769230793
PHI,TOV,14.2,21,0.41025641025641013
BRK,TOV,15.3,6,0.6923076923076925
NYK,TOV,14.3,20,0.4358974358974361
MIL,TOV,15.1,10,0.641025641025641
CHI,TOV,15.5,4,0.7435897435897436
IND,TOV,13.2,26,0.15384615384615374
DET,TOV,15.3,6,0.6923076923076925
CLE,TOV,16.5,1,1.0
MIA,TOV,14.9,12,0.5897435897435899
ORL,TOV,12.8,27,0.05128205128205155
CHO,TOV,14.6,17,0.5128205128205128
WAS,TOV,14.2,21,0.41025641025641013
ATL,TOV,16.2,3,0.9230769230769229
DEN,TOV,13.8,23,0.30769230769230793
OKC,TOV,13.7,25,0.28205128205128194
UTA,TOV,15.1,10,0.641025641025641
POR,TOV,12.8,27,0.05128205128205155
MIN,TOV,15.3,6,0.6923076923076925
LAL,TOV,15.2,8,0.6666666666666665
LAC,TOV,14.6,17,0.5128205128205128
PHO,TOV,14.8,14,0.5641025641025643
SAC,TOV,14.5,19,0.4871794871794872
GSW,TOV,14.9,12,0.5897435897435899
DAL,TOV,12.7,29,0.025641025641025546
HOU,TOV,14.7,16,0.5384615384615383
MEM,TOV,15.2,8,0.6666666666666665
SAS,TOV,12.6,30,0.0
NOP,TOV,16.4,2,0.974358974358974
