Season,Team,Salary,W,L,W/L%,Salary cap
1996-97,Orlando Magic,40149100,45,37,0.5489999999999999,24363000 
1996-97,Indiana Pacers,39480000,39,43,0.47600000000000003,24363000 
1996-97,Phoenix Suns,36140000,40,42,0.488,24363000 
1996-97,Washington Wizards,34940000,44,38,0.537,24363000 
1996-97,Golden State Warriors,31087000,30,52,0.366,24363000 
1996-97,San Antonio Spurs,30785500,20,62,0.244,24363000 
1996-97,Oklahoma City Thunder,30301500,57,25,0.695,24363000 
1996-97,Los Angeles Lakers,28838500,56,26,0.6829999999999999,24363000 
1996-97,Sacramento Kings,27820200,34,48,0.415,24363000 
1996-97,Detroit Pistons,26848500,54,28,0.659,24363000 
1996-97,Houston Rockets,26275000,57,25,0.695,24363000 
1996-97,Dallas Mavericks,26107500,24,58,0.293,24363000 
1996-97,New York Knicks,25923500,57,25,0.695,24363000 
1996-97,Boston Celtics,25853500,15,67,0.183,24363000 
1996-97,Atlanta Hawks,25806100,56,26,0.6829999999999999,24363000 
1996-97,Brooklyn Nets,25426600,26,56,0.317,24363000 
1996-97,Utah Jazz,25267000,64,18,0.78,24363000 
1996-97,Portland Trail Blazers,24903500,49,33,0.598,24363000 
1996-97,Milwaukee Bucks,24222500,33,49,0.402,24363000 
1996-97,Minnesota Timberwolves,24100500,40,42,0.488,24363000 
1996-97,Philadelphia 76ers,23669500,22,60,0.268,24363000 
1996-97,Los Angeles Clippers,23336500,36,46,0.439,24363000 
1996-97,Miami Heat,22421000,61,21,0.7440000000000001,24363000 
1996-97,Denver Nuggets,21243300,21,61,0.256,24363000 
1996-97,Charlotte Hornets,20975500,54,28,0.659,24363000 
1996-97,Cleveland Cavaliers,18867500,42,40,0.512,24363000 
1996-97,Toronto Raptors,18633900,30,52,0.366,24363000 
1996-97,Memphis Grizzlies,15978000,14,68,0.171,24363000 
1995-96,New York Knicks,43329000,47,35,0.573,23000000 
1995-96,Orlando Magic,36526560,60,22,0.732,23000000 
1995-96,Phoenix Suns,36525000,41,41,0.5,23000000 
1995-96,Los Angeles Lakers,30073000,53,29,0.6459999999999999,23000000 
1995-96,Cleveland Cavaliers,27695000,47,35,0.573,23000000 
1995-96,San Antonio Spurs,26553000,59,23,0.72,23000000 
1995-96,Oklahoma City Thunder,25852000,64,18,0.78,23000000 
1995-96,Houston Rockets,25632000,48,34,0.585,23000000 
1995-96,Philadelphia 76ers,25133000,18,64,0.22,23000000 
1995-96,Denver Nuggets,24553000,35,47,0.42700000000000005,23000000 
1995-96,Sacramento Kings,24391000,39,43,0.47600000000000003,23000000 
1995-96,Detroit Pistons,23970000,46,36,0.561,23000000 
1995-96,Portland Trail Blazers,23926000,44,38,0.537,23000000 
1995-96,Indiana Pacers,23909000,52,30,0.634,23000000 
1995-96,Chicago Bulls,23512000,72,10,0.878,23000000 
1995-96,Charlotte Hornets,23084000,41,41,0.5,23000000 
1995-96,Milwaukee Bucks,23011000,25,57,0.305,23000000 
1995-96,Golden State Warriors,22877000,36,46,0.439,23000000 
1995-96,Minnesota Timberwolves,22642000,26,56,0.317,23000000 
1995-96,Brooklyn Nets,22580000,30,52,0.366,23000000 
1995-96,Utah Jazz,22451000,55,27,0.6709999999999999,23000000 
1995-96,Atlanta Hawks,22227000,46,36,0.561,23000000 
1995-96,Washington Wizards,22224000,39,43,0.47600000000000003,23000000 
1995-96,Miami Heat,22087000,42,40,0.512,23000000 
1995-96,Dallas Mavericks,21753000,26,56,0.317,23000000 
1995-96,Los Angeles Clippers,21165000,29,53,0.354,23000000 
1995-96,Boston Celtics,20219000,33,49,0.402,23000000 
1995-96,Memphis Grizzlies,18413000,15,67,0.183,23000000 
1995-96,Toronto Raptors,17955000,21,61,0.256,23000000 
1994-95,Los Angeles Lakers,42068300,48,34,0.585,15964000 
1994-95,Orlando Magic,29069916,57,25,0.695,15964000 
1994-95,Cleveland Cavaliers,28106000,43,39,0.524,15964000 
1994-95,Portland Trail Blazers,26658000,44,38,0.537,15964000 
1994-95,New York Knicks,25748900,55,27,0.6709999999999999,15964000 
1994-95,Indiana Pacers,24918500,52,30,0.634,15964000 
1994-95,Boston Celtics,24462000,35,47,0.42700000000000005,15964000 
1994-95,Oklahoma City Thunder,24073500,57,25,0.695,15964000 
1994-95,Phoenix Suns,23170884,59,23,0.72,15964000 
1994-95,Brooklyn Nets,23121800,30,52,0.366,15964000 
1994-95,San Antonio Spurs,22721982,62,20,0.7559999999999999,15964000 
1994-95,Chicago Bulls,22053129,47,35,0.573,15964000 
1994-95,Denver Nuggets,21940500,41,41,0.5,15964000 
1994-95,Atlanta Hawks,21869340,42,40,0.512,15964000 
1994-95,Sacramento Kings,20209000,39,43,0.47600000000000003,15964000 
1994-95,Miami Heat,20142000,32,50,0.39,15964000 
1994-95,Golden State Warriors,19797300,26,56,0.317,15964000 
1994-95,Philadelphia 76ers,19709510,24,58,0.293,15964000 
1994-95,Charlotte Hornets,19346658,50,32,0.61,15964000 
1994-95,Utah Jazz,18708950,60,22,0.732,15964000 
1994-95,Dallas Mavericks,18053100,36,46,0.439,15964000 
1994-95,Los Angeles Clippers,17876700,17,65,0.207,15964000 
1994-95,Minnesota Timberwolves,17673260,21,61,0.256,15964000 
1994-95,Houston Rockets,17578600,47,35,0.573,15964000 
1994-95,Washington Wizards,17049750,21,61,0.256,15964000 
1994-95,Detroit Pistons,16339300,28,54,0.341,15964000 
1994-95,Milwaukee Bucks,16256960,34,48,0.415,15964000 
1993-94,Cleveland Cavaliers,23711000,47,35,0.573,15175000 
1993-94,Portland Trail Blazers,23534000,47,35,0.573,15175000 
1993-94,Los Angeles Lakers,23478000,33,49,0.402,15175000 
1993-94,Atlanta Hawks,22510000,57,25,0.695,15175000 
1993-94,New York Knicks,22109000,57,25,0.695,15175000 
1993-94,Phoenix Suns,21485000,56,26,0.6829999999999999,15175000 
1993-94,Los Angeles Clippers,20188000,27,55,0.32899999999999996,15175000 
1993-94,Brooklyn Nets,20107000,45,37,0.5489999999999999,15175000 
1993-94,Orlando Magic,19939000,50,32,0.61,15175000 
1993-94,San Antonio Spurs,19316365,55,27,0.6709999999999999,15175000 
1993-94,Golden State Warriors,19239000,50,32,0.61,15175000 
1993-94,Chicago Bulls,18531000,55,27,0.6709999999999999,15175000 
1993-94,Charlotte Hornets,17952000,41,41,0.5,15175000 
1993-94,Boston Celtics,17881000,32,50,0.39,15175000 
1993-94,Miami Heat,17811000,42,40,0.512,15175000 
1993-94,Sacramento Kings,17397000,28,54,0.341,15175000 
1993-94,Indiana Pacers,17196000,47,35,0.573,15175000 
1993-94,Utah Jazz,16990000,53,29,0.6459999999999999,15175000 
1993-94,Houston Rockets,16757000,58,24,0.7070000000000001,15175000 
1993-94,Washington Wizards,16240000,24,58,0.293,15175000 
1993-94,Denver Nuggets,16110000,42,40,0.512,15175000 
1993-94,Oklahoma City Thunder,15967000,63,19,0.768,15175000 
1993-94,Detroit Pistons,15826000,20,62,0.244,15175000 
1993-94,Minnesota Timberwolves,15496000,20,62,0.244,15175000 
1993-94,Philadelphia 76ers,15354000,25,57,0.305,15175000 
1993-94,Milwaukee Bucks,14889000,20,62,0.244,15175000 
1993-94,Dallas Mavericks,14321000,13,69,0.159,15175000 
1992-93,Boston Celtics,25217000,48,34,0.585,14000000 
1992-93,Cleveland Cavaliers,19676000,54,28,0.659,14000000 
1992-93,Los Angeles Lakers,18851000,39,43,0.47600000000000003,14000000 
1992-93,Chicago Bulls,18536000,57,25,0.695,14000000 
1992-93,San Antonio Spurs,18083000,49,33,0.598,14000000 
1992-93,Atlanta Hawks,18036000,43,39,0.524,14000000 
1992-93,Philadelphia 76ers,17367000,26,56,0.317,14000000 
1992-93,Washington Wizards,17249000,22,60,0.268,14000000 
1992-93,Portland Trail Blazers,16369000,51,31,0.622,14000000 
1992-93,Brooklyn Nets,16314000,43,39,0.524,14000000 
1992-93,Indiana Pacers,16268000,41,41,0.5,14000000 
1992-93,Houston Rockets,15877000,55,27,0.6709999999999999,14000000 
1992-93,Golden State Warriors,15473000,34,48,0.415,14000000 
1992-93,Miami Heat,15125000,36,46,0.439,14000000 
1992-93,Orlando Magic,14970000,41,41,0.5,14000000 
1992-93,Utah Jazz,14517000,47,35,0.573,14000000 
1992-93,Los Angeles Clippers,14288000,41,41,0.5,14000000 
1992-93,Phoenix Suns,14280000,62,20,0.7559999999999999,14000000 
1992-93,Charlotte Hornets,14150000,44,38,0.537,14000000 
1992-93,Oklahoma City Thunder,14033000,55,27,0.6709999999999999,14000000 
1992-93,Milwaukee Bucks,14032000,28,54,0.341,14000000 
1992-93,New York Knicks,14001000,60,22,0.732,14000000 
1992-93,Detroit Pistons,13954000,40,42,0.488,14000000 
1992-93,Sacramento Kings,13953000,25,57,0.305,14000000 
1992-93,Denver Nuggets,13776180,36,46,0.439,14000000 
1992-93,Minnesota Timberwolves,13732000,19,63,0.23199999999999998,14000000 
1992-93,Dallas Mavericks,10859000,11,71,0.134,14000000 
1991-92,Boston Celtics,25343000,51,31,0.622,12500000 
1991-92,Cleveland Cavaliers,16882000,57,25,0.695,12500000 
1991-92,Chicago Bulls,16829000,67,15,0.8170000000000001,12500000 
1991-92,Los Angeles Lakers,15673000,43,39,0.524,12500000 
1991-92,Detroit Pistons,15428000,48,34,0.585,12500000 
1991-92,Indiana Pacers,15090000,40,42,0.488,12500000 
1991-92,Philadelphia 76ers,14058000,35,47,0.42700000000000005,12500000 
1991-92,Phoenix Suns,13593000,53,29,0.6459999999999999,12500000 
1991-92,Oklahoma City Thunder,13308000,47,35,0.573,12500000 
1991-92,Houston Rockets,13274000,42,40,0.512,12500000 
1991-92,Dallas Mavericks,13004000,22,60,0.268,12500000 
1991-92,Los Angeles Clippers,12976000,45,37,0.5489999999999999,12500000 
1991-92,Atlanta Hawks,12930000,38,44,0.46299999999999997,12500000 
1991-92,Utah Jazz,12761000,55,27,0.6709999999999999,12500000 
1991-92,Portland Trail Blazers,12742000,57,25,0.695,12500000 
1991-92,Washington Wizards,12633000,25,57,0.305,12500000 
1991-92,Charlotte Hornets,12625000,31,51,0.37799999999999995,12500000 
1991-92,Brooklyn Nets,12598000,40,42,0.488,12500000 
1991-92,Golden State Warriors,12500000,55,27,0.6709999999999999,12500000 
1991-92,Sacramento Kings,12492000,29,53,0.354,12500000 
1991-92,Milwaukee Bucks,12451000,31,51,0.37799999999999995,12500000 
1991-92,New York Knicks,12399000,51,31,0.622,12500000 
1991-92,Orlando Magic,12250000,21,61,0.256,12500000 
1991-92,Denver Nuggets,11879000,24,58,0.293,12500000 
1991-92,San Antonio Spurs,11587000,47,35,0.573,12500000 
1991-92,Miami Heat,11514000,38,44,0.46299999999999997,12500000 
1991-92,Minnesota Timberwolves,10763000,15,67,0.183,12500000 
1990-91,Cleveland Cavaliers,,33,49,0.402,11871000 
1990-91,Minnesota Timberwolves,,29,53,0.354,11871000 
1990-91,New York Knicks,,39,43,0.47600000000000003,11871000 
1990-91,Portland Trail Blazers,,63,19,0.768,11871000 
1990-91,San Antonio Spurs,,55,27,0.6709999999999999,11871000 
1990-91,Utah Jazz,,54,28,0.659,11871000 
1990-91,Oklahoma City Thunder,,41,41,0.5,11871000 
1990-91,Los Angeles Lakers,,58,24,0.7070000000000001,11871000 
1990-91,Milwaukee Bucks,,48,34,0.585,11871000 
1990-91,Chicago Bulls,,61,21,0.7440000000000001,11871000 
1990-91,Los Angeles Clippers,,31,51,0.37799999999999995,11871000 
1990-91,Boston Celtics,,56,26,0.6829999999999999,11871000 
1990-91,Denver Nuggets,,20,62,0.244,11871000 
1990-91,Indiana Pacers,,41,41,0.5,11871000 
1990-91,Brooklyn Nets,,26,56,0.317,11871000 
1990-91,Miami Heat,,24,58,0.293,11871000 
1990-91,Dallas Mavericks,,28,54,0.341,11871000 
1990-91,Orlando Magic,,31,51,0.37799999999999995,11871000 
1990-91,Sacramento Kings,,25,57,0.305,11871000 
1990-91,Atlanta Hawks,,43,39,0.524,11871000 
1990-91,Detroit Pistons,,50,32,0.61,11871000 
1990-91,Golden State Warriors,,44,38,0.537,11871000 
1990-91,Phoenix Suns,,55,27,0.6709999999999999,11871000 
1990-91,Philadelphia 76ers,,44,38,0.537,11871000 
1990-91,Houston Rockets,,52,30,0.634,11871000 
1990-91,Charlotte Hornets,,26,56,0.317,11871000 
1990-91,Washington Wizards,,30,52,0.366,11871000 
1989-90,Atlanta Hawks,,41,41,0.5,9802000 
1989-90,Utah Jazz,,55,27,0.6709999999999999,9802000 
1989-90,Los Angeles Lakers,,63,19,0.768,9802000 
1989-90,Houston Rockets,,41,41,0.5,9802000 
1989-90,Charlotte Hornets,,19,63,0.23199999999999998,9802000 
1989-90,Orlando Magic,,18,64,0.22,9802000 
1989-90,Cleveland Cavaliers,,42,40,0.512,9802000 
1989-90,Sacramento Kings,,23,59,0.28,9802000 
1989-90,Washington Wizards,,31,51,0.37799999999999995,9802000 
1989-90,Philadelphia 76ers,,53,29,0.6459999999999999,9802000 
1989-90,Chicago Bulls,,55,27,0.6709999999999999,9802000 
1989-90,Detroit Pistons,,59,23,0.72,9802000 
1989-90,Portland Trail Blazers,,59,23,0.72,9802000 
1989-90,Indiana Pacers,,42,40,0.512,9802000 
1989-90,Phoenix Suns,,54,28,0.659,9802000 
1989-90,Golden State Warriors,,37,45,0.451,9802000 
1989-90,New York Knicks,,45,37,0.5489999999999999,9802000 
1989-90,Minnesota Timberwolves,,22,60,0.268,9802000 
1989-90,Boston Celtics,,52,30,0.634,9802000 
1989-90,Oklahoma City Thunder,,41,41,0.5,9802000 
1989-90,Los Angeles Clippers,,30,52,0.366,9802000 
1989-90,Milwaukee Bucks,,44,38,0.537,9802000 
1989-90,San Antonio Spurs,,56,26,0.6829999999999999,9802000 
1989-90,Denver Nuggets,,43,39,0.524,9802000 
1989-90,Miami Heat,,18,64,0.22,9802000 
1989-90,Brooklyn Nets,,17,65,0.207,9802000 
1989-90,Dallas Mavericks,,47,35,0.573,9802000 
1988-89,Chicago Bulls,,47,35,0.573,7232000 
1988-89,Detroit Pistons,,63,19,0.768,7232000 
1988-89,Denver Nuggets,,44,38,0.537,7232000 
1988-89,Indiana Pacers,,28,54,0.341,7232000 
1988-89,Utah Jazz,,51,31,0.622,7232000 
1988-89,Oklahoma City Thunder,,47,35,0.573,7232000 
1988-89,Milwaukee Bucks,,49,33,0.598,7232000 
1988-89,Golden State Warriors,,43,39,0.524,7232000 
1988-89,Los Angeles Clippers,,21,61,0.256,7232000 
1988-89,Philadelphia 76ers,,46,36,0.561,7232000 
1988-89,Boston Celtics,,42,40,0.512,7232000 
1988-89,Brooklyn Nets,,26,56,0.317,7232000 
1988-89,New York Knicks,,52,30,0.634,7232000 
1988-89,Portland Trail Blazers,,39,43,0.47600000000000003,7232000 
1988-89,Washington Wizards,,40,42,0.488,7232000 
1988-89,Charlotte Hornets,,20,62,0.244,7232000 
1988-89,Houston Rockets,,45,37,0.5489999999999999,7232000 
1988-89,Atlanta Hawks,,52,30,0.634,7232000 
1988-89,Miami Heat,,15,67,0.183,7232000 
1988-89,Cleveland Cavaliers,,57,25,0.695,7232000 
1988-89,Dallas Mavericks,,38,44,0.46299999999999997,7232000 
1988-89,Phoenix Suns,,55,27,0.6709999999999999,7232000 
1988-89,Los Angeles Lakers,,57,25,0.695,7232000 
1988-89,San Antonio Spurs,,21,61,0.256,7232000 
1988-89,Sacramento Kings,,27,55,0.32899999999999996,7232000 
1987-88,Indiana Pacers,,38,44,0.46299999999999997,6164000 
1987-88,Los Angeles Lakers,,62,20,0.7559999999999999,6164000 
1987-88,Oklahoma City Thunder,,44,38,0.537,6164000 
1987-88,Portland Trail Blazers,,53,29,0.6459999999999999,6164000 
1987-88,Boston Celtics,,57,25,0.695,6164000 
1987-88,San Antonio Spurs,,31,51,0.37799999999999995,6164000 
1987-88,Philadelphia 76ers,,36,46,0.439,6164000 
1987-88,Milwaukee Bucks,,42,40,0.512,6164000 
1987-88,Golden State Warriors,,20,62,0.244,6164000 
1987-88,New York Knicks,,38,44,0.46299999999999997,6164000 
1987-88,Phoenix Suns,,28,54,0.341,6164000 
1987-88,Cleveland Cavaliers,,42,40,0.512,6164000 
1987-88,Houston Rockets,,46,36,0.561,6164000 
1987-88,Sacramento Kings,,24,58,0.293,6164000 
1987-88,Utah Jazz,,47,35,0.573,6164000 
1987-88,Dallas Mavericks,,53,29,0.6459999999999999,6164000 
1987-88,Detroit Pistons,,54,28,0.659,6164000 
1987-88,Los Angeles Clippers,,17,65,0.207,6164000 
1987-88,Washington Wizards,,38,44,0.46299999999999997,6164000 
1987-88,Chicago Bulls,,50,32,0.61,6164000 
1987-88,Denver Nuggets,,54,28,0.659,6164000 
1987-88,Atlanta Hawks,,50,32,0.61,6164000 
1987-88,Brooklyn Nets,,19,63,0.23199999999999998,6164000 
1986-87,Brooklyn Nets,,24,58,0.293,4945000 
1986-87,Los Angeles Clippers,,12,70,0.146,4945000 
1986-87,Boston Celtics,,59,23,0.72,4945000 
1986-87,Utah Jazz,,44,38,0.537,4945000 
1986-87,Los Angeles Lakers,,65,17,0.7929999999999999,4945000 
1986-87,New York Knicks,,24,58,0.293,4945000 
1986-87,Portland Trail Blazers,,49,33,0.598,4945000 
1986-87,Washington Wizards,,42,40,0.512,4945000 
1986-87,Phoenix Suns,,36,46,0.439,4945000 
1986-87,Milwaukee Bucks,,50,32,0.61,4945000 
1986-87,Cleveland Cavaliers,,31,51,0.37799999999999995,4945000 
1986-87,Houston Rockets,,42,40,0.512,4945000 
1986-87,San Antonio Spurs,,28,54,0.341,4945000 
1986-87,Denver Nuggets,,37,45,0.451,4945000 
1986-87,Philadelphia 76ers,,45,37,0.5489999999999999,4945000 
1986-87,Oklahoma City Thunder,,39,43,0.47600000000000003,4945000 
1986-87,Detroit Pistons,,52,30,0.634,4945000 
1986-87,Indiana Pacers,,41,41,0.5,4945000 
1986-87,Dallas Mavericks,,55,27,0.6709999999999999,4945000 
1986-87,Golden State Warriors,,42,40,0.512,4945000 
1986-87,Sacramento Kings,,29,53,0.354,4945000 
1986-87,Atlanta Hawks,,57,25,0.695,4945000 
1986-87,Chicago Bulls,,40,42,0.488,4945000 
1986-87,Brooklyn Nets,,24,58,0.293,4945000 
1986-87,Los Angeles Clippers,,12,70,0.146,4945000 
1986-87,Boston Celtics,,59,23,0.72,4945000 
1986-87,Utah Jazz,,44,38,0.537,4945000 
1986-87,Los Angeles Lakers,,65,17,0.7929999999999999,4945000 
1986-87,New York Knicks,,24,58,0.293,4945000 
1986-87,Portland Trail Blazers,,49,33,0.598,4945000 
1986-87,Washington Wizards,,42,40,0.512,4945000 
1986-87,Phoenix Suns,,36,46,0.439,4945000 
1986-87,Milwaukee Bucks,,50,32,0.61,4945000 
1986-87,Cleveland Cavaliers,,31,51,0.37799999999999995,4945000 
1986-87,Houston Rockets,,42,40,0.512,4945000 
1986-87,San Antonio Spurs,,28,54,0.341,4945000 
1986-87,Denver Nuggets,,37,45,0.451,4945000 
1986-87,Philadelphia 76ers,,45,37,0.5489999999999999,4945000 
1986-87,Oklahoma City Thunder,,39,43,0.47600000000000003,4945000 
1986-87,Detroit Pistons,,52,30,0.634,4945000 
1986-87,Indiana Pacers,,41,41,0.5,4945000 
1986-87,Dallas Mavericks,,55,27,0.6709999999999999,4945000 
1986-87,Golden State Warriors,,42,40,0.512,4945000 
1986-87,Sacramento Kings,,29,53,0.354,4945000 
1986-87,Atlanta Hawks,,57,25,0.695,4945000 
1986-87,Chicago Bulls,,40,42,0.488,4945000 
1985-86,Los Angeles Clippers,,32,50,0.39,4233000 
1985-86,Dallas Mavericks,,44,38,0.537,4233000 
1985-86,Boston Celtics,,67,15,0.8170000000000001,4233000 
1985-86,Sacramento Kings,,37,45,0.451,4233000 
1985-86,Phoenix Suns,,32,50,0.39,4233000 
1985-86,San Antonio Spurs,,35,47,0.42700000000000005,4233000 
1985-86,Portland Trail Blazers,,40,42,0.488,4233000 
1985-86,New York Knicks,,23,59,0.28,4233000 
1985-86,Los Angeles Lakers,,62,20,0.7559999999999999,4233000 
1985-86,Golden State Warriors,,30,52,0.366,4233000 
1985-86,Philadelphia 76ers,,54,28,0.659,4233000 
1985-86,Brooklyn Nets,,39,43,0.47600000000000003,4233000 
1985-86,Houston Rockets,,51,31,0.622,4233000 
1985-86,Chicago Bulls,,30,52,0.366,4233000 
1985-86,Milwaukee Bucks,,57,25,0.695,4233000 
1985-86,Atlanta Hawks,,50,32,0.61,4233000 
1985-86,Cleveland Cavaliers,,29,53,0.354,4233000 
1985-86,Utah Jazz,,42,40,0.512,4233000 
1985-86,Detroit Pistons,,46,36,0.561,4233000 
1985-86,Washington Wizards,,39,43,0.47600000000000003,4233000 
1985-86,Denver Nuggets,,47,35,0.573,4233000 
1985-86,Indiana Pacers,,26,56,0.317,4233000 
1985-86,Oklahoma City Thunder,,31,51,0.37799999999999995,4233000 
1984-85,Washington Wizards,,40,42,0.488,3600000 
1984-85,Chicago Bulls,,38,44,0.46299999999999997,3600000 
1984-85,Denver Nuggets,,52,30,0.634,3600000 
1984-85,Atlanta Hawks,,34,48,0.415,3600000 
1984-85,Houston Rockets,,48,34,0.585,3600000 
1984-85,Boston Celtics,,63,19,0.768,3600000 
1984-85,Utah Jazz,,41,41,0.5,3600000 
1984-85,San Antonio Spurs,,41,41,0.5,3600000 
1984-85,Kansas City Kings,,31,51,0.37799999999999995,3600000 
1984-85,Cleveland Cavaliers,,36,46,0.439,3600000 
1984-85,Philadelphia 76ers,,58,24,0.7070000000000001,3600000 
1984-85,Phoenix Suns,,36,46,0.439,3600000 
1984-85,Indiana Pacers,,22,60,0.268,3600000 
1984-85,Portland Trail Blazers,,42,40,0.512,3600000 
1984-85,Oklahoma City Thunder,,31,51,0.37799999999999995,3600000 
1984-85,Milwaukee Bucks,,59,23,0.72,3600000 
1984-85,Los Angeles Clippers,,31,51,0.37799999999999995,3600000 
1984-85,Brooklyn Nets,,42,40,0.512,3600000 
1984-85,Detroit Pistons,,46,36,0.561,3600000 
1984-85,New York Knicks,,24,58,0.293,3600000 
1984-85,Los Angeles Lakers,,62,20,0.7559999999999999,3600000 
1984-85,Dallas Mavericks,,44,38,0.537,3600000 
1984-85,Golden State Warriors,,22,60,0.268,3600000 
